0, 0.037590861320495605,	0.22622275, 0.5609989, 0.6674881, 0.46137106, 0.3655225, 0.37452, 0.7450186, 0.79634553, 0.0, 0.0, 0.0, 0.0, 0.8083946, 0.0, 0.86141706, 0.58859247, 0.96277195, 0.0, 0.68333924, 0.5640261
1, 0.037590861320495605,	0.22622275, 0.5609989, 0.6674881, 0.46137106, 0.3655225, 0.37452, 0.7450186, 0.79634553, 0.0, 0.0, 0.0, 0.0, 0.8083946, 0.0, 0.86141706, 0.58859247, 0.96277195, 0.0, 0.68333924, 0.5640261
2, 0.03951072692871094,	0.2335544, 0.15140228, 0.0, 0.07472424, 0.792906, 0.07068044, 0.86480767, 0.34005156, 0.0, 0.0, 0.0, 0.0, 0.16215006, 0.0, 0.9605947, 0.62760645, 0.036683165, 0.0, 0.8744709, 0.4622636
3, 0.03951072692871094,	0.2335544, 0.15140228, 0.0, 0.07472424, 0.792906, 0.07068044, 0.86480767, 0.34005156, 0.0, 0.0, 0.0, 0.0, 0.16215006, 0.0, 0.9605947, 0.62760645, 0.036683165, 0.0, 0.8744709, 0.4622636
4, 0.03951072692871094,	0.2335544, 0.15140228, 0.0, 0.07472424, 0.792906, 0.07068044, 0.86480767, 0.34005156, 0.0, 0.0, 0.0, 0.0, 0.16215006, 0.0, 0.9605947, 0.62760645, 0.036683165, 0.0, 0.8744709, 0.4622636
5, 0.03951072692871094,	0.2335544, 0.15140228, 0.0, 0.07472424, 0.792906, 0.07068044, 0.86480767, 0.34005156, 0.0, 0.0, 0.0, 0.0, 0.16215006, 0.0, 0.9605947, 0.62760645, 0.036683165, 0.0, 0.8744709, 0.4622636
6, 0.03951072692871094,	0.2335544, 0.15140228, 0.0, 0.07472424, 0.792906, 0.07068044, 0.86480767, 0.34005156, 0.0, 0.0, 0.0, 0.0, 0.16215006, 0.0, 0.9605947, 0.62760645, 0.036683165, 0.0, 0.8744709, 0.4622636
7, 0.03951072692871094,	0.2335544, 0.15140228, 0.0, 0.07472424, 0.792906, 0.07068044, 0.86480767, 0.34005156, 0.0, 0.0, 0.0, 0.0, 0.16215006, 0.0, 0.9605947, 0.62760645, 0.036683165, 0.0, 0.8744709, 0.4622636
8, 0.042463839054107666,	0.2335544, 0.6997773, 0.0, 0.07472424, 0.792906, 0.0, 0.86480767, 0.34005156, 0.0, 0.0, 0.0, 0.0, 0.16215006, 0.0, 0.8658386, 0.62760645, 0.036683165, 0.0, 0.7014118, 0.09607076
9, 0.042463839054107666,	0.2335544, 0.6997773, 0.0, 0.07472424, 0.792906, 0.0, 0.86480767, 0.34005156, 0.0, 0.0, 0.0, 0.0, 0.16215006, 0.0, 0.8658386, 0.62760645, 0.036683165, 0.0, 0.7014118, 0.09607076
10, 0.042463839054107666,	0.2335544, 0.6997773, 0.0, 0.07472424, 0.792906, 0.0, 0.86480767, 0.34005156, 0.0, 0.0, 0.0, 0.0, 0.16215006, 0.0, 0.8658386, 0.62760645, 0.036683165, 0.0, 0.7014118, 0.09607076
11, 0.042463839054107666,	0.2335544, 0.6997773, 0.0, 0.07472424, 0.792906, 0.0, 0.86480767, 0.34005156, 0.0, 0.0, 0.0, 0.0, 0.16215006, 0.0, 0.8658386, 0.62760645, 0.036683165, 0.0, 0.7014118, 0.09607076
12, 0.042463839054107666,	0.2335544, 0.6997773, 0.0, 0.07472424, 0.792906, 0.0, 0.86480767, 0.34005156, 0.0, 0.0, 0.0, 0.0, 0.16215006, 0.0, 0.8658386, 0.62760645, 0.036683165, 0.0, 0.7014118, 0.09607076
13, 0.042463839054107666,	0.2335544, 0.6997773, 0.0, 0.07472424, 0.792906, 0.0, 0.86480767, 0.34005156, 0.0, 0.0, 0.0, 0.0, 0.16215006, 0.0, 0.8658386, 0.62760645, 0.036683165, 0.0, 0.7014118, 0.09607076
14, 0.042463839054107666,	0.2335544, 0.6997773, 0.0, 0.07472424, 0.792906, 0.0, 0.86480767, 0.34005156, 0.0, 0.0, 0.0, 0.0, 0.16215006, 0.0, 0.8658386, 0.62760645, 0.036683165, 0.0, 0.7014118, 0.09607076
15, 0.042463839054107666,	0.2335544, 0.6997773, 0.0, 0.07472424, 0.792906, 0.0, 0.86480767, 0.34005156, 0.0, 0.0, 0.0, 0.0, 0.16215006, 0.0, 0.8658386, 0.62760645, 0.036683165, 0.0, 0.7014118, 0.09607076
16, 0.042463839054107666,	0.2335544, 0.6997773, 0.0, 0.07472424, 0.792906, 0.0, 0.86480767, 0.34005156, 0.0, 0.0, 0.0, 0.0, 0.16215006, 0.0, 0.8658386, 0.62760645, 0.036683165, 0.0, 0.7014118, 0.09607076
17, 0.042463839054107666,	0.2335544, 0.6997773, 0.0, 0.07472424, 0.792906, 0.0, 0.86480767, 0.34005156, 0.0, 0.0, 0.0, 0.0, 0.16215006, 0.0, 0.8658386, 0.62760645, 0.036683165, 0.0, 0.7014118, 0.09607076
18, 0.042463839054107666,	0.2335544, 0.6997773, 0.0, 0.07472424, 0.792906, 0.0, 0.86480767, 0.34005156, 0.0, 0.0, 0.0, 0.0, 0.16215006, 0.0, 0.8658386, 0.62760645, 0.036683165, 0.0, 0.7014118, 0.09607076
19, 0.042463839054107666,	0.2335544, 0.6997773, 0.0, 0.07472424, 0.792906, 0.0, 0.86480767, 0.34005156, 0.0, 0.0, 0.0, 0.0, 0.16215006, 0.0, 0.8658386, 0.62760645, 0.036683165, 0.0, 0.7014118, 0.09607076
20, 0.042463839054107666,	0.2335544, 0.6997773, 0.0, 0.07472424, 0.792906, 0.0, 0.86480767, 0.34005156, 0.0, 0.0, 0.0, 0.0, 0.16215006, 0.0, 0.8658386, 0.62760645, 0.036683165, 0.0, 0.7014118, 0.09607076
21, 0.042463839054107666,	0.2335544, 0.6997773, 0.0, 0.07472424, 0.792906, 0.0, 0.86480767, 0.34005156, 0.0, 0.0, 0.0, 0.0, 0.16215006, 0.0, 0.8658386, 0.62760645, 0.036683165, 0.0, 0.7014118, 0.09607076
22, 0.042463839054107666,	0.2335544, 0.6997773, 0.0, 0.07472424, 0.792906, 0.0, 0.86480767, 0.34005156, 0.0, 0.0, 0.0, 0.0, 0.16215006, 0.0, 0.8658386, 0.62760645, 0.036683165, 0.0, 0.7014118, 0.09607076
23, 0.042463839054107666,	0.2335544, 0.6997773, 0.0, 0.07472424, 0.792906, 0.0, 0.86480767, 0.34005156, 0.0, 0.0, 0.0, 0.0, 0.16215006, 0.0, 0.8658386, 0.62760645, 0.036683165, 0.0, 0.7014118, 0.09607076
24, 0.043910443782806396,	0.2335544, 0.0, 0.0, 0.0, 0.792906, 0.37158892, 0.86480767, 0.0, 0.0, 0.0, 0.0, 0.0, 0.092856035, 0.0, 0.36302134, 1.0, 1.0, 0.0, 0.0, 0.09607076
25, 0.043910443782806396,	0.2335544, 0.0, 0.0, 0.0, 0.792906, 0.37158892, 0.86480767, 0.0, 0.0, 0.0, 0.0, 0.0, 0.092856035, 0.0, 0.36302134, 1.0, 1.0, 0.0, 0.0, 0.09607076
26, 0.043910443782806396,	0.2335544, 0.0, 0.0, 0.0, 0.792906, 0.37158892, 0.86480767, 0.0, 0.0, 0.0, 0.0, 0.0, 0.092856035, 0.0, 0.36302134, 1.0, 1.0, 0.0, 0.0, 0.09607076
27, 0.043910443782806396,	0.2335544, 0.0, 0.0, 0.0, 0.792906, 0.37158892, 0.86480767, 0.0, 0.0, 0.0, 0.0, 0.0, 0.092856035, 0.0, 0.36302134, 1.0, 1.0, 0.0, 0.0, 0.09607076
28, 0.043910443782806396,	0.2335544, 0.0, 0.0, 0.0, 0.792906, 0.37158892, 0.86480767, 0.0, 0.0, 0.0, 0.0, 0.0, 0.092856035, 0.0, 0.36302134, 1.0, 1.0, 0.0, 0.0, 0.09607076
29, 0.043910443782806396,	0.2335544, 0.0, 0.0, 0.0, 0.792906, 0.37158892, 0.86480767, 0.0, 0.0, 0.0, 0.0, 0.0, 0.092856035, 0.0, 0.36302134, 1.0, 1.0, 0.0, 0.0, 0.09607076
30, 0.043910443782806396,	0.2335544, 0.0, 0.0, 0.0, 0.792906, 0.37158892, 0.86480767, 0.0, 0.0, 0.0, 0.0, 0.0, 0.092856035, 0.0, 0.36302134, 1.0, 1.0, 0.0, 0.0, 0.09607076
31, 0.043910443782806396,	0.2335544, 0.0, 0.0, 0.0, 0.792906, 0.37158892, 0.86480767, 0.0, 0.0, 0.0, 0.0, 0.0, 0.092856035, 0.0, 0.36302134, 1.0, 1.0, 0.0, 0.0, 0.09607076
32, 0.043910443782806396,	0.2335544, 0.0, 0.0, 0.0, 0.792906, 0.37158892, 0.86480767, 0.0, 0.0, 0.0, 0.0, 0.0, 0.092856035, 0.0, 0.36302134, 1.0, 1.0, 0.0, 0.0, 0.09607076
33, 0.043910443782806396,	0.2335544, 0.0, 0.0, 0.0, 0.792906, 0.37158892, 0.86480767, 0.0, 0.0, 0.0, 0.0, 0.0, 0.092856035, 0.0, 0.36302134, 1.0, 1.0, 0.0, 0.0, 0.09607076
34, 0.043910443782806396,	0.2335544, 0.0, 0.0, 0.0, 0.792906, 0.37158892, 0.86480767, 0.0, 0.0, 0.0, 0.0, 0.0, 0.092856035, 0.0, 0.36302134, 1.0, 1.0, 0.0, 0.0, 0.09607076
35, 0.043910443782806396,	0.2335544, 0.0, 0.0, 0.0, 0.792906, 0.37158892, 0.86480767, 0.0, 0.0, 0.0, 0.0, 0.0, 0.092856035, 0.0, 0.36302134, 1.0, 1.0, 0.0, 0.0, 0.09607076
36, 0.043910443782806396,	0.2335544, 0.0, 0.0, 0.0, 0.792906, 0.37158892, 0.86480767, 0.0, 0.0, 0.0, 0.0, 0.0, 0.092856035, 0.0, 0.36302134, 1.0, 1.0, 0.0, 0.0, 0.09607076
37, 0.043910443782806396,	0.2335544, 0.0, 0.0, 0.0, 0.792906, 0.37158892, 0.86480767, 0.0, 0.0, 0.0, 0.0, 0.0, 0.092856035, 0.0, 0.36302134, 1.0, 1.0, 0.0, 0.0, 0.09607076
38, 0.043910443782806396,	0.2335544, 0.0, 0.0, 0.0, 0.792906, 0.37158892, 0.86480767, 0.0, 0.0, 0.0, 0.0, 0.0, 0.092856035, 0.0, 0.36302134, 1.0, 1.0, 0.0, 0.0, 0.09607076
39, 0.043910443782806396,	0.2335544, 0.0, 0.0, 0.0, 0.792906, 0.37158892, 0.86480767, 0.0, 0.0, 0.0, 0.0, 0.0, 0.092856035, 0.0, 0.36302134, 1.0, 1.0, 0.0, 0.0, 0.09607076
40, 0.043910443782806396,	0.2335544, 0.0, 0.0, 0.0, 0.792906, 0.37158892, 0.86480767, 0.0, 0.0, 0.0, 0.0, 0.0, 0.092856035, 0.0, 0.36302134, 1.0, 1.0, 0.0, 0.0, 0.09607076
41, 0.043910443782806396,	0.2335544, 0.0, 0.0, 0.0, 0.792906, 0.37158892, 0.86480767, 0.0, 0.0, 0.0, 0.0, 0.0, 0.092856035, 0.0, 0.36302134, 1.0, 1.0, 0.0, 0.0, 0.09607076
42, 0.043910443782806396,	0.2335544, 0.0, 0.0, 0.0, 0.792906, 0.37158892, 0.86480767, 0.0, 0.0, 0.0, 0.0, 0.0, 0.092856035, 0.0, 0.36302134, 1.0, 1.0, 0.0, 0.0, 0.09607076
43, 0.043910443782806396,	0.2335544, 0.0, 0.0, 0.0, 0.792906, 0.37158892, 0.86480767, 0.0, 0.0, 0.0, 0.0, 0.0, 0.092856035, 0.0, 0.36302134, 1.0, 1.0, 0.0, 0.0, 0.09607076
44, 0.043910443782806396,	0.2335544, 0.0, 0.0, 0.0, 0.792906, 0.37158892, 0.86480767, 0.0, 0.0, 0.0, 0.0, 0.0, 0.092856035, 0.0, 0.36302134, 1.0, 1.0, 0.0, 0.0, 0.09607076
45, 0.043910443782806396,	0.2335544, 0.0, 0.0, 0.0, 0.792906, 0.37158892, 0.86480767, 0.0, 0.0, 0.0, 0.0, 0.0, 0.092856035, 0.0, 0.36302134, 1.0, 1.0, 0.0, 0.0, 0.09607076
46, 0.043910443782806396,	0.2335544, 0.0, 0.0, 0.0, 0.792906, 0.37158892, 0.86480767, 0.0, 0.0, 0.0, 0.0, 0.0, 0.092856035, 0.0, 0.36302134, 1.0, 1.0, 0.0, 0.0, 0.09607076
47, 0.043910443782806396,	0.2335544, 0.0, 0.0, 0.0, 0.792906, 0.37158892, 0.86480767, 0.0, 0.0, 0.0, 0.0, 0.0, 0.092856035, 0.0, 0.36302134, 1.0, 1.0, 0.0, 0.0, 0.09607076
48, 0.043910443782806396,	0.2335544, 0.0, 0.0, 0.0, 0.792906, 0.37158892, 0.86480767, 0.0, 0.0, 0.0, 0.0, 0.0, 0.092856035, 0.0, 0.36302134, 1.0, 1.0, 0.0, 0.0, 0.09607076
49, 0.043910443782806396,	0.2335544, 0.0, 0.0, 0.0, 0.792906, 0.37158892, 0.86480767, 0.0, 0.0, 0.0, 0.0, 0.0, 0.092856035, 0.0, 0.36302134, 1.0, 1.0, 0.0, 0.0, 0.09607076
50, 0.043910443782806396,	0.2335544, 0.0, 0.0, 0.0, 0.792906, 0.37158892, 0.86480767, 0.0, 0.0, 0.0, 0.0, 0.0, 0.092856035, 0.0, 0.36302134, 1.0, 1.0, 0.0, 0.0, 0.09607076
51, 0.043910443782806396,	0.2335544, 0.0, 0.0, 0.0, 0.792906, 0.37158892, 0.86480767, 0.0, 0.0, 0.0, 0.0, 0.0, 0.092856035, 0.0, 0.36302134, 1.0, 1.0, 0.0, 0.0, 0.09607076
52, 0.043910443782806396,	0.2335544, 0.0, 0.0, 0.0, 0.792906, 0.37158892, 0.86480767, 0.0, 0.0, 0.0, 0.0, 0.0, 0.092856035, 0.0, 0.36302134, 1.0, 1.0, 0.0, 0.0, 0.09607076
53, 0.043910443782806396,	0.2335544, 0.0, 0.0, 0.0, 0.792906, 0.37158892, 0.86480767, 0.0, 0.0, 0.0, 0.0, 0.0, 0.092856035, 0.0, 0.36302134, 1.0, 1.0, 0.0, 0.0, 0.09607076
54, 0.043910443782806396,	0.2335544, 0.0, 0.0, 0.0, 0.792906, 0.37158892, 0.86480767, 0.0, 0.0, 0.0, 0.0, 0.0, 0.092856035, 0.0, 0.36302134, 1.0, 1.0, 0.0, 0.0, 0.09607076
55, 0.04693019390106201,	1.0, 0.0, 0.0, 0.0, 0.39402384, 0.53760314, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.092856035, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
56, 0.04693019390106201,	1.0, 0.0, 0.0, 0.0, 0.39402384, 0.53760314, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.092856035, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
57, 0.04693019390106201,	1.0, 0.0, 0.0, 0.0, 0.39402384, 0.53760314, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.092856035, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
58, 0.04693019390106201,	1.0, 0.0, 0.0, 0.0, 0.39402384, 0.53760314, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.092856035, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
59, 0.04693019390106201,	1.0, 0.0, 0.0, 0.0, 0.39402384, 0.53760314, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.092856035, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
60, 0.04693019390106201,	1.0, 0.0, 0.0, 0.0, 0.39402384, 0.53760314, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.092856035, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
61, 0.04693019390106201,	1.0, 0.0, 0.0, 0.0, 0.39402384, 0.53760314, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.092856035, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
62, 0.04693019390106201,	1.0, 0.0, 0.0, 0.0, 0.39402384, 0.53760314, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.092856035, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
63, 0.04693019390106201,	1.0, 0.0, 0.0, 0.0, 0.39402384, 0.53760314, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.092856035, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
64, 0.04693019390106201,	1.0, 0.0, 0.0, 0.0, 0.39402384, 0.53760314, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.092856035, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
65, 0.04693019390106201,	1.0, 0.0, 0.0, 0.0, 0.39402384, 0.53760314, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.092856035, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
66, 0.04693019390106201,	1.0, 0.0, 0.0, 0.0, 0.39402384, 0.53760314, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.092856035, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
67, 0.04693019390106201,	1.0, 0.0, 0.0, 0.0, 0.39402384, 0.53760314, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.092856035, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
68, 0.04693019390106201,	1.0, 0.0, 0.0, 0.0, 0.39402384, 0.53760314, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.092856035, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
69, 0.04693019390106201,	1.0, 0.0, 0.0, 0.0, 0.39402384, 0.53760314, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.092856035, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
